HOMETEAM,AWAYTEAM,HOMESCORE,AWAYSCORE
Arsenal,Everton,5,1
Brentford,Leeds,1,2
Brighton,West Ham,3,1
Burnley,Newcastle,1,2
Chelsea,Watford,2,1
Crystal Palace,Manchester Utd,1,0
Leicester,Southampton,4,1
Liverpool,Wolves,3,1
Manchester City,Aston Villa,3,2
Norwich,Tottenham,0,5
Aston Villa,Burnley,1,1
Chelsea,Leicester,1,1
Everton,Crystal Palace,3,2
Southampton,Liverpool,1,2
Newcastle,Arsenal,2,0
Everton,Brentford,2,3
Aston Villa,Crystal Palace,1,1
Leeds,Brighton,1,1
Watford,Leicester,1,5
West Ham,Manchester City,2,2
Wolves,Norwich,1,1
Tottenham,Burnley,1,0
Tottenham,Arsenal,3,0
Wolves,Manchester City,1,5
Leicester,Norwich,3,0
Watford,Everton,0,0
Leeds,Chelsea,0,3
Aston Villa,Liverpool,1,2
Manchester City,Newcastle,5,0
Arsenal,Leeds,2,1
Leicester,Everton,1,2
Norwich,West Ham,0,4
Liverpool,Tottenham,1,1
Brighton,Manchester Utd,4,0
Brentford,Southampton,3,0
Burnley,Aston Villa,1,3
Chelsea,Wolves,2,2
Crystal Palace,Watford,1,0
Manchester Utd,Brentford,3,0
West Ham,Arsenal,1,2
Everton,Chelsea,1,0
Tottenham,Leicester,3,1
Leeds,Manchester City,0,4
Aston Villa,Norwich,2,0
Southampton,Crystal Palace,1,2
Watford,Burnley,1,2
Wolves,Brighton,0,3
Newcastle,Liverpool,0,1
Manchester Utd,Chelsea,1,1
Crystal Palace,Leeds,0,0
Liverpool,Everton,2,0
Brighton,Southampton,2,2
Burnley,Wolves,1,0
Chelsea,West Ham,1,0
Brentford,Tottenham,0,0
Leicester,Aston Villa,0,0
Manchester City,Watford,5,1
Norwich,Newcastle,0,3
Arsenal,Manchester Utd,3,1
Burnley,Southampton,2,0
Manchester City,Brighton,3,0
Everton,Leicester,1,1
Chelsea,Arsenal,2,4
Newcastle,Crystal Palace,1,0
Liverpool,Manchester Utd,4,0
Newcastle,Leicester,2,1
West Ham,Burnley,1,1
Manchester Utd,Norwich,3,2
Southampton,Arsenal,1,0
Watford,Brentford,1,2
Tottenham,Brighton,0,1
Manchester City,Liverpool,2,2
Brentford,West Ham,2,0
Leicester,Crystal Palace,2,1
Norwich,Burnley,2,0
Aston Villa,Tottenham,0,4
Southampton,Chelsea,0,6
Watford,Leeds,0,3
Arsenal,Brighton,1,2
Everton,Manchester Utd,1,0
Newcastle,Wolves,1,0
Burnley,Everton,3,2
Crystal Palace,Arsenal,3,0
Tottenham,Newcastle,5,1
West Ham,Everton,2,1
Manchester Utd,Leicester,1,1
Burnley,Manchester City,0,2
Chelsea,Brentford,1,4
Leeds,Southampton,1,1
Brighton,Norwich,0,0
Wolves,Aston Villa,2,1
Liverpool,Watford,2,0
Leicester,Brentford,2,1
Tottenham,West Ham,3,1
Aston Villa,Arsenal,0,1
Wolves,Leeds,2,3
Everton,Newcastle,1,0
Arsenal,Liverpool,0,2
Brighton,Tottenham,0,2
Crystal Palace,Manchester City,0,0
Arsenal,Leicester,2,0
Chelsea,Newcastle,1,0
Everton,Wolves,0,1
Leeds,Norwich,2,1
Southampton,Watford,1,2
West Ham,Aston Villa,2,1
Manchester Utd,Tottenham,3,2
Brentford,Burnley,2,0
Brighton,Liverpool,0,2
Leeds,Aston Villa,0,3
Wolves,Watford,4,0
Southampton,Newcastle,1,2
Norwich,Chelsea,1,3
Tottenham,Everton,5,0
Manchester City,Manchester Utd,4,1
Watford,Arsenal,2,3
Burnley,Chelsea,0,4
Liverpool,West Ham,1,0
Newcastle,Brighton,2,1
Aston Villa,Southampton,4,0
Norwich,Brentford,1,3
Wolves,Crystal Palace,0,2
Leicester,Leeds,1,0
Burnley,Leicester,0,2
